id	name	md5sum
/10.1007/978-3-030-71788-9	_10.1007_978-3-030-71788-9_Blockchain_Systems_and_Communication_Networks__From_Concepts_to_Implementation_10.1007_978-3-030-71788-9.epub	89f905fbcd2aaeeedf821eac99f56b72
/10.1007/978-3-030-41153-4	_10.1007_978-3-030-41153-4_A_Course_in_Algebraic_Error-Correcting_Codes_10.1007_978-3-030-41153-4.pdf	54472e0f038b0f3f9ebe80a17a118312
/10.1007/978-3-030-41153-4	_10.1007_978-3-030-41153-4_A_Course_in_Algebraic_Error-Correcting_Codes_10.1007_978-3-030-41153-4.epub	e6922b3a0fbf375b90ff1721e92a4318
/10.1007/978-3-319-22144-1	_10.1007_978-3-319-22144-1_An_Introduction_to_Catalan_Numbers_10.1007_978-3-319-22144-1.pdf	dee067d2a640b1d2553e704b6e750fd6
/10.1007/978-3-319-22144-1	_10.1007_978-3-319-22144-1_An_Introduction_to_Catalan_Numbers_10.1007_978-3-319-22144-1.epub	864abb37e40c7edbc1356e8d387d1133
/10.1007/978-3-030-36090-0	_10.1007_978-3-030-36090-0_Probabilistic_Methods_in_Telecommunications_10.1007_978-3-030-36090-0.pdf	b5bad7011a42f1226c34e69931bc556e
/10.1007/978-3-030-36090-0	_10.1007_978-3-030-36090-0_Probabilistic_Methods_in_Telecommunications_10.1007_978-3-030-36090-0.epub	0d57d3c4fe04119f8bcf51ec069e65cc
/10.1007/978-3-030-16973-2	_10.1007_978-3-030-16973-2_Geophysical_Fluid_Dynamics_I_An_Introduction_to_Atmosphere_Ocean_Dynamics__Homogeneous_Fluids_10.1007_978-3-030-16973-2.pdf	75eb17c8a779148d059b44a23e3b906a
/10.1007/978-3-030-16973-2	_10.1007_978-3-030-16973-2_Geophysical_Fluid_Dynamics_I_An_Introduction_to_Atmosphere_Ocean_Dynamics__Homogeneous_Fluids_10.1007_978-3-030-16973-2.epub	9864ab40bcd9fdca0b70141545b3b21a
/10.1007/978-3-319-63793-8	_10.1007_978-3-319-63793-8_Linear_Algebra_10.1007_978-3-319-63793-8.pdf	b84dcb71a39e9159195f1792dcdc277b
/10.1007/978-3-319-63793-8	_10.1007_978-3-319-63793-8_Linear_Algebra_10.1007_978-3-319-63793-8.epub	db35153876094aee0d0b464bd83181bd
/10.1007/978-3-319-44660-8	_10.1007_978-3-319-44660-8_Elementary_Numerical_Mathematics_for_Programmers_and_Engineers_10.1007_978-3-319-44660-8.pdf	3a1aa2d88115cb2aa88563ad79048434
/10.1007/978-3-319-44660-8	_10.1007_978-3-319-44660-8_Elementary_Numerical_Mathematics_for_Programmers_and_Engineers_10.1007_978-3-319-44660-8.epub	305881703b8059ab764af2c3505055c1
/10.1007/978-3-319-92061-0	_10.1007_978-3-319-92061-0_A_Primer_on_Hilbert_Space_Operators_10.1007_978-3-319-92061-0.pdf	c880aee99db5daca446983faf7a6fd77
/10.1007/978-3-319-92061-0	_10.1007_978-3-319-92061-0_A_Primer_on_Hilbert_Space_Operators_10.1007_978-3-319-92061-0.epub	2fd06a2ffae53b182c5d6e6e5309bc52
